package_name,app_name,label,developer,permissions
com.nyth.lexiaohua,乐小花,金融理财/贷款,杭州尚宝科技有限公司,查看网络状态 | 开关WLAN | 拍摄照片和视频 | 更改网络连接性 | 更改 Wi-Fi 状态 | 完全的互联网访问权限 | 控制闪光灯 | 访问手机账户 | 直接安装应用程序 | 装载和卸载文件系统 | 查阅敏感日志数据 | 获取手机信息 | 录音 | 写入文件与文档 | 控制振动器 | 防止手机休眠 | 修改系统设置项 | 读取文件与文档 | android.permission.REQUEST_INSTALL_PACKAGES | android.permission.READ_MEDIA_VISUAL_USER_SELECTED | android.permission.READ_MEDIA_VIDEO | android.permission.READ_MEDIA_IMAGES | 运行前台服务
com.zhilianxx.xbfdapp,欣宝福袋,金融理财/记账,盐津县智链信息科技有限公司,完全的互联网访问权限
com.yshb.acount,记账有宝-账单,金融理财/记账,广州一生八信息科技有限公司,查看网络状态 | 开关WLAN | 发送持久广播 | 拍摄照片和视频 | 更改网络连接性 | 更改 Wi-Fi 状态 | 完全的互联网访问权限 | 检索当前运行的应用程序 | 装载和卸载文件系统 | 获取手机信息 | 对正在运行的应用程序重新排序 | 写入文件与文档 | 以悬浮窗的形式显示 | 控制振动器 | 防止手机休眠 | 修改系统设置项 | 读取文件与文档 | android.permission.REQUEST_INSTALL_PACKAGES | android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS | android.permission.QUERY_ALL_PACKAGES | 运行前台服务
com.qihuo.changjiang,长江期货开户交易,金融理财/股票,长江期货股份有限公司,访问大概位置 | 精确位置权限 | 查看网络状态 | 开关WLAN | 拍摄照片和视频 | 更改网络连接性 | 完全的互联网访问权限 | 获取手机信息 | 录音 | 写入文件与文档 | 控制振动器 | 防止手机休眠 | 读取文件与文档 | android.permission.SCHEDULE_EXACT_ALARM | android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS | android.permission.READ_PHONE_NUMBERS | android.permission.READ_MEDIA_IMAGES | android.permission.QUERY_ALL_PACKAGES | android.permission.POST_NOTIFICATIONS
com.zuozhengshow.cnnews,中华彩讯,金融理财/彩票,北京左正科技有限公司,访问大概位置 | 精确位置权限 | 查看网络状态 | 开关WLAN | 开关蓝牙 | 拍摄照片和视频 | 更改网络连接性 | 更改 Wi-Fi 状态 | 完全的互联网访问权限 | 控制闪光灯 | 检索当前运行的应用程序 | 控制媒体音量 | 查阅敏感日志数据 | 获取手机信息 | 开机时自动启动 | 录音 | 写入文件与文档 | 以悬浮窗的形式显示 | 控制振动器 | 防止手机休眠 | 读取文件与文档 | android.permission.REQUEST_INSTALL_PACKAGES | android.permission.POST_NOTIFICATIONS | 后台位置权限 | 运行前台服务 | android.permission.FOREGROUND_SERVICE_MEDIA_PROJECTION
com.guotai.dazhihui,国泰海通君弘-股票开户炒股软件,金融理财/股票,国泰海通证券股份有限公司,访问大概位置 | 精确位置权限 | 查看网络状态 | 访问 SurfaceFlinger | 开关WLAN | 拍摄照片和视频 | 更改网络连接性 | 更改 Wi-Fi 状态 | 完全的互联网访问权限 | 停用键锁 | 控制闪光灯 | 检索当前运行的应用程序 | 结束后台进程 | 结束后台进程 | 控制媒体音量 | 装载和卸载文件系统 | 使用NFC | 获取手机信息 | 录音 | 对正在运行的应用程序重新排序 | 写入文件与文档 | 以悬浮窗的形式显示 | 控制振动器 | 防止手机休眠 | 添加/修改日历活动 | 修改系统设置项 | 访问日历 | 读取文件与文档 | 添加桌面快捷方式 | android.permission.USE_FINGERPRINT | android.permission.USE_BIOMETRIC | android.permission.SCHEDULE_EXACT_ALARM | android.permission.READ_MEDIA_VIDEO | android.permission.READ_MEDIA_IMAGES | android.permission.READ_MEDIA_AUDIO | android.permission.POST_NOTIFICATIONS | 运行前台服务 | android.permission.FOREGROUND_SERVICE_DATA_SYNC | android.permission.FOREGROUND_SERVICE_MEDIA_PLAYBACK
com.csii.zbdirect,众邦银行,金融理财/银行,武汉众邦银行股份有限公司,访问大概位置 | 精确位置权限 | 获取额外的位置信息提供程序命令 | 查看网络状态 | 开关WLAN | 开关蓝牙 | 拨打电话 | 拍摄照片和视频 | 更改网络连接性 | 更改 Wi-Fi 状态 | 完全的互联网访问权限 | 控制闪光灯 | 控制媒体音量 | 装载和卸载文件系统 | 使用NFC | 查阅敏感日志数据 | 获取手机信息 | 录音 | 写入文件与文档 | 以悬浮窗的形式显示 | 控制振动器 | 防止手机休眠 | 修改系统设置项 | 读取文件与文档 | 添加桌面快捷方式 | android.permission.USE_FINGERPRINT | android.permission.REQUEST_INSTALL_PACKAGES | android.permission.QUERY_ALL_PACKAGES | android.permission.POST_NOTIFICATIONS | 运行前台服务
uni.qunde.app,车融无忧-车抵贷不押车,金融理财/贷款,广东裕鑫小额贷款股份有限公司,查看网络状态 | 开关WLAN | 拨打电话 | 更改网络连接性 | 更改 Wi-Fi 状态 | 完全的互联网访问权限 | 直接安装应用程序 | 装载和卸载文件系统 | 查阅敏感日志数据 | 获取手机信息 | 写入文件与文档 | 控制振动器 | 防止手机休眠 | 修改系统设置项 | 读取文件与文档 | android.permission.REQUEST_INSTALL_PACKAGES | android.permission.READ_MEDIA_VISUAL_USER_SELECTED | android.permission.READ_MEDIA_VIDEO | android.permission.READ_MEDIA_IMAGES
com.dkhs.portfolio,决策宝,金融理财/基金,厦门市鑫鼎盛控股有限公司,查看网络状态 | 开关WLAN | 开关蓝牙 | 拍摄照片和视频 | 更改 Wi-Fi 状态 | 完全的互联网访问权限 | 检索当前运行的应用程序 | 控制媒体音量 | 使用NFC | 获取手机信息 | 录音 | 写入文件与文档 | 控制振动器 | 防止手机休眠 | 读取文件与文档 | android.permission.REQUEST_INSTALL_PACKAGES | android.permission.READ_MEDIA_VISUAL_USER_SELECTED | android.permission.READ_MEDIA_VIDEO | android.permission.READ_MEDIA_IMAGES | android.permission.QUERY_ALL_PACKAGES | android.permission.POST_NOTIFICATIONS | 运行前台服务
com.ecitic.bank.mobile,中信银行,金融理财/银行,中信银行股份有限公司,访问大概位置 | 精确位置权限 | 获取额外的位置信息提供程序命令 | 查看网络状态 | 开关WLAN | 作为帐户身份验证程序 | 修改电池统计信息 | 开关蓝牙 | 蓝牙管理 | 发送持久广播 | 拍摄照片和视频 | 更改网络连接性 | 更改 Wi-Fi 状态 | 完全的互联网访问权限 | 控制闪光灯 | 访问手机账户 | 结束后台进程 | 管理帐户列表 | 控制媒体音量 | 装载和卸载文件系统 | 使用NFC | 读取联系人 | 查阅敏感日志数据 | 获取手机信息 | 录音 | 对正在运行的应用程序重新排序 | 写入文件与文档 | 以悬浮窗的形式显示 | 使用帐户的身份验证凭据 | 控制振动器 | 防止手机休眠 | 添加/修改日历活动 | 修改系统设置项 | 访问日历 | 获取身体传感器信息 | 读取文件与文档 | 添加桌面快捷方式 | android.permission.USE_FINGERPRINT | android.permission.UNINSTALL_SHORTCUT | android.permission.REQUEST_INSTALL_PACKAGES | android.permission.READ_MEDIA_VIDEO | android.permission.READ_MEDIA_IMAGES | android.permission.QUERY_ALL_PACKAGES | android.permission.POST_NOTIFICATIONS | 运行前台服务 | 允许应用程序在启动器中安装快捷方式
